label,text
1,"Wonderfully light weight but with some design flaws if you want to use it for gardening, driving, or just walking about. When you put it on in a breeze, you'll be reminded of those adverts for shampoo with the wind lifting up the model's long wavy hair and floating it about. Quite amusing at first and very cooling, but that entertainment wears off quickly when faced with the risk inherent in the hat's design. The bill/brim could be a shade longer but the biggest issue is that the flaps are too far forward. I've had to pin them back with safety pins so that my peripheral vision isn't suddenly blocked. Pinning them back has also helped cut down on the noise the flaps make as they flap about in even the lightest breeze, but the fact remains that without the safety pins, a flap can cross much of my face in an instant, momentarily totally blocking an eye on that side, blinding me to whatever might be coming from that side, which could be an accident waiting to happen. Even with no wind, without the pins in place, leaning forward to un-clip a weed-eater/brush cutter's harness, the flap kept blocking my view and after three attempts I had to take the hat off to do that simple task. I reckon the un-pinned flaps would be a hazard while driving, for example, a ride-on lawnmower. Curiously, despite being 100% nylon, they don't stink, or even whiff slightly, not even after a whole weeks wear. With a couple of safety pins handy, I'd quite happily recommend this product."
0,"Затем полный 9-й округ отклонил своих собственных судей в пользу государства , согласившись с утверждением государства о том , что клиенты не пострадали , потому что проценты не были бы заработали иначе ."
1,"Loving these! The only downside is that you have to remove the wrap around bit of leather when you put them on, so if you are in a hurry, probably best to have a backup pair that take less time to throw on."
0,Производители шерсти предлагают несколько других вариантов .
1,The watch screen doesn’t register the touch after you install this. Huge waste of money.
2,Buen acabado y facil de cambiar
0,К вам также будут подходить водители велорикша ; это мотоциклы с двумя пассажирами .
0,"Пресс-конференция прошла именно так , как это приснилось профессору ."
1,Great for protecting the back of my seats. I have them on backwards so the pockets face the seat. I had one for a couple of years and it worked great! So i bought two more to protect my other seats.
2,"Mala calidad, se caen y son muy blandos"
0,"Если они будут в деревне , и деревня будет заполнена , многие умрут ."
1,"Did not come with the string which I need, wish I could just have one sent but we all know how that goes an Amazon, you can return and re-buy and cross your fingers or just deal with it. The silver one is my original, don’t have the skills or patients to tie the same knot on the refurbished blue. As you can see the connect plus works between the two. The string is pictured in the description."
2,"Ha llegado con una fisura de 2 ó 3 centímetros, por lo que no sé cómo suena en realidad el cacharro. Lo he devuelto."
0,Что ты имеешь в виду ? Он разрезал человека вдвое больше .
2,"Hola a todos, si queréis comprar esté ""artilugio"" que sepáis que no funciona. Ha llegado, he abierto el paquete, he enchufado el aparato en cuestión y nada de nada, todavía estoy esperando a que se encienda alguna luz a que el ordenador lo reconozca. Directamente, no va."
1,"I love this light. The remote control is amazing, no having to jump out of bed to get the light or change the light setting. The remote control is not back lit which sucks at night in a dark bedroom, but easy to get used to where the buttons are over time. I cannot attest to longevity as I have only had it for a week. Box came very well packaged and it is quality. The light gives off a natural light unlike the Nicrew model I returned. For $30 more this is much better. There are several settings that look alike so useless, No actual ON/OFF switch so good luck if you lose the remote or it stops working. I have it on a switch as well in case I dont want to find the remote. 2 different black light settings and a couple in the middle which are very nice. Over all it is not cheap but lighting in a tank and ease of use is critical to me so I am happy and i recommend this product"
2,Demasiado grande para la poca resistencia que tiene y hierve la carne
1,"Well, I wanted to like this book and I tried hard. Almost put it down a couple times. It's got a good dose of fantasy that I didn't enjoy. The story jumps around a lot and is difficult to follow. Reread several chapters trying to figure out what was going on. Character names were confusing. My apology but not my cup of tea."
1,"Initially it covered the tree just fine.. not too thick, used 2 cans to cover two small birch trees - however, 24 hours later the whole thing came off - it almost evaporated!!!!!:( . this is not a good product."
1,Not a fan. The color is dull and the quality is not what i expected for it just to be a case
1,A little tight but ok..good quality
0,Он отказался от приглашений от демократов и республиканцев баллотироваться в сенат в Калифорнии и сопротивлялся усилиям по подготовке его к президентской гонке 1988 года .
1,"these are interesting products, i still have them on my phone, however they slip on the camera and air gets under them, so you have to move them down before you can take a good quality photo."
0,"Сначала я почувствовал , что в нем что-то не так , и я всегда подозревал , что это он заткнул миссис Вандемейер так appositely ."
1,"I am not a gymnast nor have I never seen gymnastic rings before. That being said, to me these rings and straps seem to be of high quality. These wooden rings are well milled, large and feel good in my hands. The straps are good quality and the buckles are large, sturdy and seem like they will last a long time. The only point I'd like to make is these wooden rings are unfinished. Meaning the rings are smooth sanded, unfinished, naked, bare wood. I'm not sure if that is the way Gymnast Rings are supposed to be, I was expecting them to be finished."
0,Он так устал .
2,"Poco velcro, son tacaños en eso, asi q el velcro al ser escaso, no agarra bien la mosquitera en el marco y mucho menos en la apertura diaria de las cortinas, no tiene suficiente fuerza y se despega"
2,No era muy estable el escritorio. Al teclear en la computadora se movía un poco así que decidí devolverlo.
2,Buen producto que hace su efecto y de buena calidad y a buen precio
0,"На этой сессии участникам был представлен обзор трех программ на уровне штата , и основное внимание было сосредоточено на планировании работы с клиентами , которые были бы сосредоточены в центре внимания , всеобъемлющих , интегрированных"
0,"О да -- теперь ты должен принимать участие в социальной политике , пока ты писаешь ."
0,"Она сказала , что я все еще буду бороться ."
2,"Demasiado pequeña, no es útil porque no cabe nada , y calidad muy escasa... la devolví y cogí una parecida en gris que es un poco más grande y tiene además un asa para colgar como un bolso."
0,"Это был святой . Патрик , который использовал пример в , чтобы объяснить христианскую Троицу королю лири и собравшимся в таре ."
0,"В армии их гораздо больше , чем героев ."
2,muy bueno y de buena calidad
0,Он дрожал .
2,a mí me va muy bien lo uso cuando estoy sentado trabajando y me elimina la molestia temporalmente
0,"Для исключительной исключительности в украшениях нет ничего лучше , чем в мраморный фасад булгари ( via condotti ) , главный памятник римской роскоши ."
1,The fit on this is extremely nice. It fits true to size. I like the way it holds everything in place while making you feel sexy. Extremely comfortable to sleep in as well.
1,Bought this to download my pictures off my phone and I can't get them to download. Maybe this is not for that use.
0,"Купите билет и пройдите через в врата приветствия , более известные как в кап ? ? , или средние ворота ."
2,Realmente inútil. Sin instrucciones. Esta en su caja desde Navidad. Es imposible ponerlo en marcha. No aconsejo su compra ni para pisapapeles
0,"Да , я одинок и никаких других обязанностей для себя , я думаю , ты знаешь , что я могу быть очень счастлив , что я не пытался обновить себя прямо сейчас , это"
1,terribly made. cheap material. broken zipper
2,"AL PRINCIPIO CUESTA CONTROLAR LA CANTIDAD DE TABACO A COLOCAR, PERO EL RESULTADO ES BUENO"
0,Францисканский красноречие 19-го века уже на месте .
1,These screen protectors do not last long and the edges lift easily. I went through 2 protectors in 3 months and wonder if the panes are actually tempered.
2,El album es muy bonito por fuera. Por dentro son cartulinas normales y las pegatinas muy infantiles de los chinos.
2,"Una buena solución para tener conexiones en otras partes del coche que no vienen de fabrica, pero venía incompleto, le faltaban los tornillos, espero que funcione cuando lo instale."
0,Что ты имеешь в виду ?
1,works well. i love it.
2,"Buena relación calidad - precio. Buena temperatura, buena calidad de materiales. La tengo hace dos meses y por el momento funciona muy bien. La recomiendo."
0,Примеры проверки потенциала
0,"Например , вождение в условиях алкогольного опьянения связано с алкоголизмом , но оно представляет собой важный вопрос по своему собственному праву , поскольку обследования постоянно показывают , что значительное число лиц , которые не отвечают критериям диагностики злоупотребления алкоголем или зависимостью , признают , что они ехали на автомобиле в состоянии алкогольного опьянения ."
0,"Мозаика также показывает базилика с известными бронза лошадьми , принес из Константинополь после похода 1204 года ( те , что над в главным входом являются копиями , оригиналы находятся в музее базилика с момента их недавнего восстановления ) ."
2,"No tienen mala calidad de fabricación, pero algunos de ellos de entre los 20 que compré, vienen con bastante menos tinta de lo debido. No obstante es una opción barata."
2,"El producto el talle va perfecto, pero esperaba mejor calidad, la par de abajo es de menos calidad que una calza deportiva, y la parte del abdomen es una faja simple y común revestida de una fina tela"
2,Es perfecta.Muy práctica para formas de bordes
1,"The product looks okay, haven't used them yet, but was surprised that delivery would not be made to Canada, very inconvenient."
2,Calidad precio inmejorable
2,"Lo utilizamos tanto mi hermana como yo durante el embarazo para evitar estrias. Al principio nos gustaba mucho y ambas lo volvimos a comprar. Aunque costaba un poco de absorberse y era necesario esperar una media hora antes de ponerse ropa encima. Al final del embarazo nos salieron igualmente estrias. Lo peor de todo es el olor que deja en la ropa cuando llevas tiempo utilizándolo, un olor que cuesta de quitar incluso después de lavar la ropa. Mi hijo va a hacer dos meses y el armario aún me sigue oliendo al aceite..."
1,"The slippers are okay, but the arch support is not in the right spot. I do not know who designed this but I guess they did not actually study the foot. The arch support should go at the bend where your arch is. Not after it. Because of this the arch support is much further up buy my big toe and feels a bit uncomfortable until it is worn down. Luckily that happens rather quickly. Or maybe unluckily. Depends on how you see it."
2,"Es una funda normal y corriente, aunque si q la silicona no tiene mucha calidad"
2,Muy bien de calidad y rapidez de envío
0,"Сколько ей лет , она просто маленькая маленькая вещь , в которой они очаровательны в этом возрасте ."
0,"Одним из примеров является законодательство 1981 года , укрепления многие небольшие категорически субсидии в более крупные субсидии , средства для которых можно было бы проводить весьма гибко ."
2,"Quizá la información no era suficiente, pero no lo puedo hacer funcionar., lo he devuelto sin problema"
1,"It is nice lunch bag, it’s a medium size. Such a cute bag."
0,Томми был связан с заклинанием .
1,"After a short time, the leather starts tearing where the buckle grabs it at the end of the teeth where the buckle grabs the belt. So then you have a 1/4"" bit of loose leather and taking the belt off is like untying wet shoes laces that have been double knotted tightly - serious pain. You can trim that piece, and crazy glue it down, but a few weeks later, and it's repair time again."
2,Me gustó el tacto y el material pero la sujeción no me gustó.
2,Se llena de huellas nada más sacarlo del plástico. Se ve muy sucia. Eso sí! Puesta queda genial y muy elegante.
0,"Когда тепло вернулось на работу , все смотрели на него загадочным образом ."
0,"Один или два из тех порошки , которые были введены в полную бутылку медицины , могли бы вызвать ускорить , как описано в книге , и вызвать его в последней дозе ."
1,"I could have given a zero star. The product is a waste of money and the service is pathetic, I accidentally ordered the same product twice and they would not allow returns."
0,Подземные резервуары для хранения
1,it was ok - i waited long time to see how pest control stay away.. its still come around every once a while - i wouldnt buy those items again.
2,Tiene un reborde cromado que me parece una horterada. Si es verdad que es grueso y cumple su función.
1,This bra is really comfortable and fit as expected. The only down side is it's underwire. I knew this when I ordered it and it's not bad normally but if you become engorged it can be more painful (no more so than any other underwire). It's each to nurse with and feels like a much more expensive bra than it was. The slight padding is nice. Very happy with this bra and love that I got it in 2 days.
0,"Рейтинги нильсен указывают на то , что молодые американцы даю телевидение в пользу веб-серфинга и других занятий ."
0,"Обсуждаем статью в журнале "" The New York Times "" в журнале "" New York Times автор описывает богатых детей как элита ."
2,"Queda un margen alrededor del marco que no se pega al cristal.... No encaja ""pefectamente"" como dice su publicación."
0,На куаалюды .
0,"Мальчик не мог себе представить , что делать документы , чтобы взять армию офицеров только для того , чтобы сделать бумажную работу ."
0,"Торговцы направились в банки , моряки в публичные дома ."
1,"lasted six months of very light use before the fuse blew. Apparently this is a common problem with this model, and repair is costly. Just stopped working in the middle of cooking a quiche. NOT happy at all. Won't buy another one."
2,"Me ha sorprendido gratamente el tamaño del artículo,pensé que sería más pequeño. Es un juguete perfecto para trabajar la psicomotricidad en los niños,además de ser una fantástica forma de distracción imitando la acción de los adultos en el corte de los alimentos."
0,Бьюкенен - демократы и республиканцы стали слишком похожими и блэнд .
1,Great piece for the cost. It's a nice sturdy camo but also light enough to wear in the summer/fall with quarter sleeves. I plan on spicing it up with pins and patches maybe a little sequin.
2,"Es muy entretenido y es tal y como esperaba . Por poner una pega , me gustaría viniese preparado para transportarse con facilidad"
2,"Me ha gustado mucho ,salvo la funda que llegó amarilla como si estuviera vieja pero el producto en sí está bien Tal y como es en la fotos. Faena que debes lavarlo con la espuma de alrededor solo se quita el sofá de la base"
2,"Cuando cambias la opción de color, cambia el producto, yo compré los blanco y negros y estos no vienen con vibración, un error mio ( o de ellos, según lo miremos), pero se escuchan muy muy bien y aíslan de los de más sonidos."
2,"Lo puse en la puerta de cristal de la cocina que da a la terraza, da un adecuado aislamiento de luz pero de calor es mínimo."
2,"El embalaje era demasiado degradado. El producto se movía dentro del embalaje y se frotaba, entonces estropeo a la pintura. La parrilla no parecía nueva, y es muy difícil de limpiar despues de utilizar, se quedan manchas negras. El único ventaja es que es muy sólido. No voy a devolverlo porque pesa demasiado"
0,"Но до сих пор нам удалось удержать свою собственную , пытаясь установить ежемесячный бюджет ."
0,"Джон Нокс был арендатором здесь с 1651 по 1672 год , но дом принадлежал джеймсу mosman , королевскому голдсмит , и его жене лесли арестом ; табличка с их инициалы можно увидеть на внешней стене ."
0,"Мне 81 , она сказала , добавив , что у нее никогда не было в компании , никогда не работала на одного и никогда не говорила в , что она это сделала ."
0,Остальные пигаль яйцами нижние глубины с определенным увлекательным хором .
1,I was pleased to receive this product in a timely fashion and the price 11.00 and some change was a reasonable price for someone like myself who is testing this product out for the first time. Some people say that sea moss basically has no taste when you mix it in a smoothie and such.. Not so in my opinion I mixed mine and can still detect it! I think it would be better in something like a soup cuz it's very sea weedy and fishy tasting. Once I learn how to use it I would probably purchase it again.
1,Have not tried it yet as it did not come with a manual for operating instructions.
1,"I'm very pleased with the sign, however, I wish it came a size bigger. 5x7 would have been perfect for where I'm intending to locate it, but the 4x6 will do."
0,"Ее решения всегда имеют твердую основу за ними , вне зависимости от того , на какой стороне отрицательно сказывается , вонг сказал ."
1,"Absolutely horrendous delivery! Did not arrive even near the date it was supposed to, and to TOP IT OFF the day it said it was delivered to my mail box, it was not there. Horrendous horrendous horrendous. If I could give less stars I would."
0,"Я не знаю , слышал ли ты хоть что-нибудь об этом в новостях в последнее время или нет , но пару месяцев назад ты знаешь , что была сделка в Северном Далласе , где у них был мужчина , принимая маленьких девочек . Из их спален , взлом в окна своей спальни ."
2,Venían muchas piezas rotas Estoy descontenta
0,"Как говорится в главе 1 , финансовые ревизии способствуют повышению ответственности правительств за использование государственных ресурсов и предоставление услуг ."
2,"Compré el gorro pensando que iba a ser de bambú (como pone en el título del artículo) pero cuando llegó, en el paquete como podréis ver pone que es de algodón (y sospecho que lleva algo más como elastano). Lo he probado unos minutos y me da calor (es cierto que ahora estamos en verano). Por todo lo demás, el aspecto en cuanto a costuras es igual que el de la imagen."
1,Product as described
0,"Он взглянул на его тело , заметив , что он каким-то образом разработал здоровый глубокий загар в течение нескольких часов убийцы труда накануне ."
2,No compréis en Amazon son unos ladrones
2,"Es malucha. Se me ha roto la tira de plástico del cierre sobre la que se ciñe la goma elástica. Es decir, barata pero dinero tirado porque la he usado muy poco."
0,"В корпорации финансовых услуг , как правило , центральная группа безопасности"
2,"Se lava bien, pero la espuma no es muy densa. Sobre todo si usas desnatada aunque pone que lo hace en todo tipo de leches. Cuando espumas en frío se forma más una emulsión q una espuma... A veces hace ruido"
2,El peque encantado e ilusionado con el blister.
0,"Это также метафора для секса и никогда не более восхитительно , чем в фильме "" птицы-птицы "" в фильме Тони Ричардсон Тома Джонса . Однако есть только одно место , где я могу думать о том , где уравнение отменено , так что секс - это метафора для еды ."
0,"Это правильно , что они не хотят заботиться о детях и доме , и о том , что очень верно , но тогда у них не должно быть семьи ."
1,The boxes are great but came missing one lid!
0,Он пойдет туда и проводит четыре часа на лужайке .
2,Me encanta la funda! Tiene un tacto de silicona suave y agradable. Por la parte interior es aterciopelado para proteger aun mas el móvil.
0,"В окружении округлые гор , а не высоких гор , сельская местность здесь успокаивает , а не сложно , а ходьба легко ."
0,Рон Браун был убит ?
1,They fit great at the waist band. But it says long legged and they are not. they are real short and ride up very easily .. very uncomfortable because I have to keep readjusting them
2,"Tiene una muy buena velocidad de transferencia de datos, el plástico no parece muy resistente, pero por lo demás es un buen pendrive"
0,"Уверен , у них уже есть твои деньги ."
2,los tapones de las patas no encajan bien por lo demas todo correcto : : . . . . .. .
2,"Muy buen producto. Las ceras pintan muy bien. Su grosor es perfecto para que los bebés las puedan sujetar bien y, al ser 100% naturales, no hay peligro si se las llevan a la boca."
1,"When the screen protector is on the phone and when I make calls the screen is black. When I take it off it is normal. I sure don't know why this is so, but I do not like what it does to my phone. I have an email into customer service to see why this is happening. It should work if it's recommended for these Jitterbug phones. I have spent all afternoon trying to resolve this and I am feeling very angry toward this whole wasted afternoon."
1,His Hammers Slammer s helped me get an understanding of what I was feeling on my return from Vietnam. I wrote my only fan letter to thank him for the help. He continues to write about real people and combat. Thanks again.
0,"Одна из лучших в Италии , галерея Dell ' accademia каррара имеет важную мантенья Мадонна и ребенка и интересные работы лото ( в мастер , который провел много лет в бергамо ) , беллини , Рафаэль и тициан , а также иностранных мастеров ."
1,"For a company that bills itself as environmentally friendly it is obnoxious that they don't offer larger refill sizes. What a waste of plastic. That said, the product itself, the soap is great."
1,This product did absolutely nothing. It didn't catch any fur what so ever (even when washing the dog blanket)
2,Buenas el repartidor se lea caido el paquete y los productos estan dañado
2,Libro ameno y bastante interesante.
0,"Нападения могут серьезно подорвать операции , связанные с использованием компьютеров , подорвать конфиденциальность чувствительной информации и снизить целостность критических данных ."
2,"Lo he comprado por sus buenas opiniones, pero al recibirlo he visto que contiene sucralosa que es un ingrediente que a mi en particular no me parece del todo sano. Hubiera preferido que no le hubieran echado ningún edulcorante artificial."
0,""" нема ! "" хэнсон плакал ."
2,"Me encanta!!! Mi hijo solo usa estos biberones, son muy bonitos, y además muy prácticos y cómodos."
0,"Этот странный , но привлекательный город , со своей коллекцией араваки и карибов реликвий , был на выставке Парижской выставки 1889 года , затем демонтированы , принес на мартиника и реконструирована ."
2,"demasiado caro para el resultado que da, que es el mismo de productos similares a un precio muy inferior"
2,"es bonita pero si tienes el Mi8 en negro vas a ver la minima mota de polvo y parace que siempre tengas el movil super sucio... no recomiendo nada esta funda, aunque la proteccion que da es de 10 y si tuviera el movil en blanco me lo compraria, pero en negro es un sin vivir..."
1,Not strong enough to say attached. Sending back.
0,"Хуже всего то , что наука магии страдает ."
0,Не скорректированный на структурные различия
1,I never received this product and had no communications back to me either. Not a happy shopper
1,Had to return these and order directly from GE.
2,Encajan bien las piezas entre ellas. Permite flexibilidad para los codos y estabilidad para los tramos rectos. Cepillos de nylon perfectos para tuberías metálicas de buenas medidas. Lo probaré al final de la temporada pero tiene buena pinta para el uso que se le quiere dar.
2,"Es perfectamente compatible con mi vehículo, el embalaje correcto y servicio muy profesional"
2,La fácil colocación y tiene mucho recorrido desde la parte inferior a la parte superior
2,"Perchero ligero, muy manejable, relación calidad precio optima"
1,"This is a piece of junk. I opened product, put in new batteries, put on spinner/butterfly top, pushed button, and nothing. This product was dead on arrival. Will be returning."
0,"Женщина , которая хочет сделать аборт , говорит , что это ее матка , а не пэт робертсон ."
1,Not the best but gets the job done
1,"This book was very graphic in a sick way. Might be what some people like, but I don't. It would have been better for me if I had not read it."
2,"Se envió 2 semanas después de 30 días de envío Osea tardo más de 45 días desde el pedifo , las linternas de lujo calidad precio, pero el envío China post fatal"
0,Настройки поля .
2,"El bolso es bonito y tambien util, el problema es que el telefono no funciona dentro del bolso,ya que el plastico quizas es muy grueso, por ello creo que no lo usare mucho ya que tengo que sacar el telefono fuera cuando lo tengo que usar. Penso en comprarlo en otro color, pero no lo hare."
2,"Todos los toner probados hasta el momento de este modelo en concreto acaban fallado antes de llegar a acabase, sueltan mas toner del debido en algun tipo de impresión donde usamos un fondo difuminado oscuro o colores muy vivos donde nos dejara una especie de grumos de color negro. El fallo viene normalmente pasado el 50% de toner usado, aun con este fallo el toner sale rentable por su bajisimo precio pero si lo que buscamos es una gran calidad de impresión no nos va a quedar mas remedio que comprar el toner original."
1,"Everything was great,no problem with delivery etc...Ordered a few other things,outside the packaging I'm extremely pleased with the products...Will def be using again."
2,"La sorpresa desagradable ha sido que en la parte de detrás del ocho tenía una pegatina y cuando la he quitado lo que estaba ocultando son los porrazos (marcas), adjunto foto. recomiendo no comprar!!!"
2,"La crema para una piel grasa es perfecta se absorbe más rápidamente y protege para uso diario, ya es la segunda vez que la compro y estoy muy contenta"
2,Crema que llevo usando desde hace mucho tiempo y siempre repito. Protege del sol y además te da un color natural muy favorecedor.
1,Great case and great price!
0,"( Вы можете скачать пробный вариант ie4 сейчас , если хотите . )"
0,"Проблемы , связанные с деятельностью на местах ."
2,Son columnas de alta calidad y muy recomendables.
1,The buttons are really hard to press on this watch. My husband warned me that it was a small watch and the buttons would be hard to push. It's almost impossible to change or use the settings. If I had to do it over I would pick a larger watch with bigger buttons.
2,"Aunque no grapa demasiada cantidad de hojas me encanta, no ocupa, no usa grapas, es ecológico. Perfecto."
1,I ordered 2sizes because ordering over the Internet you don't know which is going to fit.thats why when I ordered 2 more shirts a different color andI then knew which size to get. I didn't like the dark wine color so I bleached them to get the colored I wanted.
0,Что случилось ? Ca рассмотрел вопрос .
0,"По иронии судьбы , Иисус был осужден не римляне , а в , верховный еврейский законодательный суд , в основном из-за его богохульство заявления о том , что он был сыном Бога ."
1,The sweater would be better if it had a hole for the harness to attach to leash.
2,Me ha venido roto de la parte de arriba. Asi que tanto la tela como las costuras dejan micho que desear
1,"The quality of the ""leather"" is definitely not like the photo shows. It is obvious to me that this is not distressed ""leather"". The magnet on the latch is not strong and will not hold it shut. I will be returning this."
2,La veo muy endeble aunque cumple las espectativas. No puedes poner un bocadillo demasiado gordo ya que no lo coge bien.
1,"not a reliable power source, it damaged my phone's battery and almost set ablaze my room"
0,"Другой вариант состоит в том , чтобы смешать спандекс с флисе , чтобы сделать его stretchier и более форме ."
0,"Аналитик по анализу дел пытается сформулировать точное описание и объяснение событий , поскольку как наблюдатель , так и участники их рамки ."
0,( руперт мёрдок недавно оставил планы на крупный спутниковый штурм на кабельном рынке . )
1,"Looks good, like a nice piece of furniture. Sturdy, drawers roll nicely. So much better than the old metal cabinet we had before. Nice to keep paperwork you want to hold onto organized."
2,Bueno es un poco complicado de manejar ya que las instrucciones bien en inglés. No tiene mucho volumen por lo de mas bien
0,Некоторые из этих магазинов работают одни и те же семьи в течение сотен лет .
1,"I thought these would be warm because of the fur lining, they are not, I live in Michigan. My flannel lined leather gloves are warmer."
2,Los gatos lo harán con la arena me parece algo inútil de hecho me parece mucho más útil por una bolsa de plástico en el alero que está más a la medida
1,My husband likes these to hold his change in his pocket.
1,Same as the ones I’ve used in classes. Should last a long time.
2,"No me gusta , no se ajusta a la foto."
1,"Works great for working out, only problem I had was I had to take my phone case off to use the phone in it"
0,"Есть хрупкая элегантность в грациозная силуэт павильона белого мрамора , с куполом и четырьмя восьмиугольное турелей , и возглавил куполом киосков ."
0,"Вы написали в ответ на e-mail , датировано всего два часа назад ."
0,"Внезапно , во время затишья в комнате , он получил всего одну фразу ."
0,Коммунисты или предполагаемые демократы демократической формы правления и я
1,"Gave to my son for xmas. Ending up returning. Microphone didn't work as expected, it was always recording us and repeating back what was said. There was also a howling noise coming from it. My son loved that it was a dinosaur so I wish it would have worked more like we were expecting."
2,"Es como de los chinos, la estética no es muy bonita..."
2,Tamano grande y de goma espuma. El material esta muy bien. El paquete tardo en llegar pero han sido muy amables y me han devuelto el dinero por haber llegado tarde. Recomentable para aquellos fans de Minecraft.
2,"No tienen mucha potencia de frenada, y yo no hago descensos demasiado complicados. Hay pastillas mejores en el mercado por un precio similar"
1,"Perfect, just what I was hoping for. Very bright."
1,Love the kettle so much I purchased a second one. Wish this vendor was Prime. Ordered white version and received ORANGE so have to waste my time dealing with return.
2,El precio un poco exagerado
2,No dejo de fumar pero al menos he reducido la cantidad a la mitad
1,"This product just straight up does not work. I added this to boost the Bissell 2x pet stain & odor formula. Like a mentioned in my review of that product, unless my 3 month old pup has super enhanced super powerful urine, these products do not work. I used a black light to discover my sneaky pup's hidden urine spots and after 2/3 treatments using these products, the spots are still there and still are very noticeable under the black light."
0,Как будто манн его создал .
0,"И это было двадцать пять лет назад , так что я не пробовал это с тех пор , как плюс плюс до этого я вернул всех этих наконечники обратно на место ."
1,"Using this at my entry door in the garage which is connected to a lamp light. Working good so far and it picks up the my movement every time. The only thing is, i wish it had a 30 second timer. It does have a 4 second timer which is good for testing. Anyway, i set the timer to 1 minute which is next lowest time. I do recommend this product though."
2,"Lo compré por marca y no cumplió ni con mis expectativas ni con lo que debería haber realizado. Me explico... Me rayó las pestañas de la ventilación porque se rajó la goma que cubre los hierros que van a la salida del aire acondicionado. Para colmo, nunca ha terminado de sujetar bien ni de quedarse en la posición que queria. En cuanto vino, venia suelta la bola y se desajustaba, por lo que tuve que apretarla, aun así, no me gustaba Espero dar con alguna que ni se rompa y que no se desajuste el angulo que le ponga."
2,No corresponden con la descripción y no sirven para el modelo que indica. Problema con la devolución. No la recomiendo.
1,"The fan works great, hate the way it operates through the modes. Have to push the power button multiple times to turn it off, as it runs through the programmed times."
